doc_id,title,doc_type,authority,url,effective_date,status,parent_doc_id,notes
INS-LIC-001,Insurance Company Licensing Regulation,regulation,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-company-licensing-regulation,,,,
INS-GOV-001,Corporate Governance Regulation for Insurance Companies,regulation,CBUAE,https://rulebook.centralbank.ae/en/rulebook/corporate-governance-regulation-insurance-companies,,,,
INS-GOV-002,Corporate Governance Standards for Insurance Companies,standard,CBUAE,https://rulebook.centralbank.ae/en/rulebook/corporate-governance-standards-insurance-companies,,,,
INS-GOV-003,Risk Management and Internal Controls Regulation for Insurance Companies,regulation,CBUAE,https://rulebook.centralbank.ae/en/rulebook/risk-management-and-internal-controls-regulation-insurance-companies,,,,
INS-GOV-004,Risk Management and Internal Controls Standards for Insurance Companies,standard,CBUAE,https://rulebook.centralbank.ae/en/rulebook/risk-management-and-internal-controls-standards-insurance-companies,,,,
INS-GOV-005,Operational Risk,regulation,CBUAE,https://rulebook.centralbank.ae/en/rulebook/operational-risk-0,,,,
INS-GOV-006,Board of Directors' Decision No. (15) of 2019 On the Instructions Concerning the Rules of Ownership Ratios in the Capital of Insurance Companies,decision,CBUAE,https://rulebook.centralbank.ae/en/rulebook/board-directors%E2%80%99-decision-no-15-2019-instructions-concerning-rules-ownership-ratios,,,,
INS-GOV-007,Climate-related Financial Risk Management,regulation,CBUAE,https://rulebook.centralbank.ae/en/rulebook/climate-related-financial-risk-management-1,,,,
INS-GOV-008,Standards re Enterprise Risk Management for Solvency Purposes for Insurance Companies,standard,CBUAE,https://rulebook.centralbank.ae/en/rulebook/standards-re-enterprise-risk-management-solvency-purposes-insurance-companies,,,,
INS-GOV-009,Remuneration Regulation for Banks and Insurance Companies,regulation,CBUAE,https://rulebook.centralbank.ae/en/rulebook/remuneration-regulation-banks-and-insurance-companies-0,,,,
INS-FIN-001,Insurance Authority Board Decision Number (25) of 2014 Pertinent to Financial Regulations for Insurance Companies,decision,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority-board-decision-number-25-2014-pertinent-financial-regulations,,,,
INS-FIN-002,Insurance Authority Board Decision Number (26) of 2014 Pertinent to Financial Regulations for Takaful Insurance Companies,decision,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority-board-decision-number-26-2014-pertinent-financial-regulations-takaful,,,,
INS-FIN-003,Insurance Authority Board of Directors' Decision No. (14) of 2018 Pertinent to the Application of Financial Solvency Requirements,decision,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority-board-directors-decision-no-14-2018-pertinent-application-financial,,,,
INS-FIN-004,Board of Directors' Decision No. (22) of 2017 Concerning the Application of the Investment Limits Stipulated in the Financial Regulations,decision,CBUAE,https://rulebook.centralbank.ae/en/rulebook/board-directors-decision-no-22-2017-concerning-application-investment-limits-stipulated,,,,
INS-FIN-005,Cabinet Resolution No. 42 of 2009 Concerning Insurance Company Minimum Capital Regulations,resolution,CBUAE,https://rulebook.centralbank.ae/en/rulebook/cabinet-resolution-no-42-2009-concerning-insurance-company-minimum-capital-regulations,,,,
INS-REP-001,Insurance Authority Board of Directors' Resolution No. (20) of 2020 Concerning the Extension of the Periods Granted to Insurance Companies to Submit Financial Data and Reports,resolution,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority-board-directors-resolution-no-20-2020-concerning-extension-periods,,,,
INS-REP-002,"Insurance Authority Board of Directors' Decision No. (19) of 2020 Concerning the Guidance Manual for Submitting Data, Information and Supervisory Reports",decision,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority%E2%80%99s-broad-directors%E2%80%99-decision-no-19-2020-concerning-guidance-manual,,,,
INS-REP-003,"A Guide to the Regulatory Information, Data and Reports to be Provided by Insurance Companies and Insurance-Related Professions",guide,CBUAE,https://rulebook.centralbank.ae/en/rulebook/guide-regulatory-information-data-and-reports-be-provided-insurance-companies-and,,,,
INS-REP-004,Financial Reporting and External Audit Regulation,regulation,CBUAE,https://rulebook.centralbank.ae/en/rulebook/financial-reporting-and-external-audit-regulation,,,,
INS-REP-005,Insurance Authority Board of Directors Decision No. (32) of 2017 Concerning the Common Reporting Standard Regulations,decision,CBUAE,https://rulebook.centralbank.ae/en/rulebook/insurance-authority-board-directors-decision-no-32-2017-concerning-common-reporting,,,,
INS-TAK-001,Regulation Regarding Takaful Insurance,regulation,CBUAE,https://rulebook.centralbank.ae/en/rulebook/regulation-regarding-takaful-insurance-0,,,,
INS-TAK-002,Standard re Shari'ah Governance for Takaful Insurance Companies,standard,CBUAE,https://rulebook.centralbank.ae/en/rulebook/standard-re-shari%E2%80%99ah-governance-takaful-insurance-companies,,,,
INS-TAK-003,Standard Re Annual Shari'ah Report of Internal Shari'ah Supervision Committee for Takaful Insurance Companies,standard,CBUAE,https://rulebook.centralbank.ae/en/rulebook/standard-re-annual-shari%E2%80%99ah-report-internal-shari%E2%80%99ah-supervision-committee-takaful,,,,
